,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price,#VALUE!
2706,1100,Borivali,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,23500000,21363.63636
2747,1100,Borivali,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500000,21363.63636
2661,750,Borivali,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1,16000000,21333.33333
3245,750,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000,21333.33333
5131,732,Borivali,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,15600000,21311.47541
6191,450,Borivali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500000,21111.11111
6192,450,Borivali,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,9500000,21111.11111
587,1350,Borivali,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,28500000,21111.11111
2261,500,Borivali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500000,21000
605,1100,Borivali,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,23000000,20909.09091
3165,650,Borivali,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,13500000,20769.23077
581,1450,Borivali,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,30000000,20689.65517
583,1075,Borivali,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,22100000,20558.13953
603,1100,Borivali,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,22500000,20454.54545
3634,1100,Borivali,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22500000,20454.54545
2753,710,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500000,20422.53521
3928,980,Borivali,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,20000000,20408.16327
596,1357,Borivali,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27500000,20265.29108
6029,575,Borivali,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,11500000,20000
3173,700,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,20000
2608,1000,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,20000
5949,1250,Borivali,3,0,0,1,0,0,0,1,1,1,0,0,1,0,0,25000000,20000
6335,1250,Borivali,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,20000
782,1080,Borivali,2,1,1,1,1,0,1,0,1,1,1,0,1,1,1,21500000,19907.40741
5087,2400,Borivali,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,47500000,19791.66667
2960,1600,Borivali,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,31500000,19687.5
6301,585,Borivali,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,11500000,19658.11966
2787,697,Borivali,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,13700000,19655.66714
5262,550,Borivali,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,10800000,19636.36364
611,1050,Borivali,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,20500000,19523.80952
1511,1050,Borivali,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,20500000,19523.80952
1325,2700,Borivali,5,0,1,1,1,0,1,1,1,1,1,0,1,1,1,52500000,19444.44444
2597,600,Borivali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11500000,19166.66667
224,2030,Borivali,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,38600000,19014.77833
5929,580,Borivali,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11000000,18965.51724
3171,950,Borivali,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000000,18947.36842
772,1189,Borivali,3,0,1,1,1,0,1,0,0,0,1,0,1,0,0,22500000,18923.4651
5948,900,Borivali,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,17000000,18888.88889
665,600,Borivali,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,11299999,18833.33167
644,850,Borivali,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,16000000,18823.52941
